"","names","indirizzi","cap"
"372","ITIMARE SRL UNIPERSONALE","viale paolo orlando 42",122
"373","CasaElite Roma Immobiliare","Viale Pasteur (angolo Viale Europa) 66",144
"374","affiliato frimm - immobiliare casasì s.r.l.","via ferdinando di savoia 3",196
"375","Loca3 tecnici Immobiliari ","
",NA
"376","Obycasa - Agenzia immobiliare srl","via delle mura castellane  46/A",52
"377","AEDES CASTELLI","VIA CESARE BATTISTI 27",46
"378","Gruppo Orion","Via Mario Calderara  4",12
"379","Affiliato Tecnocasa: STUDIO SANTA LUCIA S.A.S.","Piazza Trilussa  3",12
"380","Solo Affitti - Roma 1 - Imm. Gregory ","Via Gregorio VII° 164",167
"381","Talenti Immobiliare  srl","Via Francesco D'Ovidio   83B",137
"382","IMPERO CASA srl","viale Danimarca  129",40
"383","Senatori Immobiliare S.R.L.","VIA GIACOMO TREVIS 50",147
"384","Olgiata Casa Servizi Immobiliari Srl","Via Anton Giulio Bragaglia 23",123
"385","Tre Effe Immobiliare","via san marino 38",198
"386","AG Realty Group S.r.l.","Via della Mendola 156",135
"387","Affiliato Tecnorete: IMMOBILIARE GIARDINETTI S.R.L.","via carlo santarelli 98/d",133
"388","B & B Promozioni Immobiliari","Via Apollo Pizio 7",135
"389","AFFILIATO TECNOCASA: Immobiliare Ponte di Nona srl","via Raoul chiodelli 88",132
"390","Affiliato Tecnocasa: STUDIO CASTELLI S.R.L.","Via Massimo D'azeglio 34",47
"391","Affiliato Tecnocasa: IMMOBILIARE VALMONTONE S.R.L.","Largo Paolo VI 5",38
"392","Pieffe Immobiliare Srl","Via A. Brunetti 54",186
"393","SD CASA","via acquaroni  105/A",133
"394","Real Castelli Immobiliare","
",NA
"395","Agenzia Immobiliare Laurentina Ardea","Viale San Lorenzo 235",40
"396","LEONES STUDIO LEGALE & IMMOBILIARE","Via Castelli Romani 22/b",40
"397","PROGEDIL CASE - Pomezia","Via Urbano Rattazzi 17",40
"398","Mediazionecasa","Via Filippo Corridoni  101",30
"399","Affiliato Tecnocasa: STUDIO MENTANA S.A.S.","Via III Novembre  92",13
"400","Affiliato Tecnocasa: STUDIO PALESTRINA CENTRO S.R.L.","C.so Pierluigi 15",36
"401","Immobilarte","Via Federico Alessandrini 64",128
"402","PROGEDIL case - Agenzia 3","Viale Francesco Caltagirone 436",132
"403","Aureli Immobiliare","Via appia nuova 145",183
"404","Di Castro Immobiliare S.n.C.","Sulla Vespa 6",100
"405","centro servizi agenti immobiliari srl","VIA FERDINANDO DI SAVOIA 3",196
"406","Affiliato Tecnocasa: SAN CESAREO COLONNA MEDIAZIONE S.R.L.S","VIA ANTONIO CANTORE 19",40
"407","Affiliato Tecnorete: STUDIO PONTE DI NONA S.R.L.","Via Raoul Chiodelli 94",132
"408","Affiliato Tecnocasa: STUDIO CASILINA S.R.L.S","Via Casilina 1842/C",132
"409","casamercato","via G. Matteotti 53",48
"410","Pistone","Pompeo Neri 32",191
"411","AffiliatoTecnocasa: Studio Santa Lucia s.a.s.","Via Palombarese 485",13
